OBJECTID,Year,SiteYearID,SiteID,StnNumStrt,StnNumEnd,AssessDate,HabType,HabDetail,StnLgth,StnWdth,StnDpthAvg,StnDpthMax,StnEmbed,StnFines,StnEsCov,StnCan,StnDecid,StnSthd,YearLabel,GlobalID
12187,2020,2020-SLR-main-11,SLR-main-11,43,43,2020/09/21 00:00:00+00,run,,91,7,0.45,0.8,35,15,1,74,20,2,2020,{D01A4CCB-30CC-4B32-A477-D7A41B54DD4D}
12188,2020,2020-SLR-main-12b ,SLR-main-12b ,17,17,2020/09/21 00:00:00+00,pool,boulder wood,83,13,1.2,1.9,50,60,27,82,2,12,2020,{8D451E40-89A8-471C-9819-D0906C593A43}
12189,2020,2020-SLR-main-12b ,SLR-main-12b ,18,18,2020/09/21 00:00:00+00,run,,56,13,0.4,0.9,40,40,2,74,0,2,2020,{E35072CB-167C-4016-ABC9-D86BE779CDF3}
12190,2020,2020-SLR-main-12b ,SLR-main-12b ,19,19,2020/09/21 00:00:00+00,pool,wood artificial,91,17,1.3,2,55,60,33.5,68,5,17,2020,{B9420EB5-8613-40C0-822E-908AB68476B2}
12191,2020,2020-SLR-main-12b ,SLR-main-12b ,21,21,2020/09/21 00:00:00+00,riffle,,17,10.5,0.4,0.6,30,20,1,66,5,3,2020,{D8154486-FF78-441E-9F7D-2E16FBC5CD85}
12192,2020,2020-SLR-zayt-13a,SLR-zayt-13a,2,2,2020/09/15 00:00:00+00,pool,wood,120,30,1.2,2.1,35,60,9,56,98,22,2020,{2A032887-D28D-4DF5-8FD4-E5950D5A24D7}
12193,2020,2020-SLR-zayt-13a,SLR-zayt-13a,3,3,2020/09/15 00:00:00+00,riffle,,33,30,0.4,0.55,30,45,0.5,68,90,30,2020,{F000C9DE-3745-48E7-ADCF-62128FC2348A}
12194,2020,2020-SLR-zayt-13a,SLR-zayt-13a,6,6,2020/09/15 00:00:00+00,pool,rootwad,89,30,0.65,1.2,50,70,12.5,42,95,45,2020,{25455A03-DA33-4E57-A483-FC4FCFF34006}
12195,2020,2020-SLR-zayt-13a,SLR-zayt-13a,7,7,2020/09/15 00:00:00+00,run,,47,23,0.7,0.8,30,50,17.5,44,85,46,2020,{31AD0C0D-DCBE-4A5B-B87A-8F41FB1D6412}
12196,2020,2020-SLR-zayt-13c,SLR-zayt-13c,32,32,2020/09/15 00:00:00+00,pool,bedrock,174,14,1.6,2.9,30,20,20,36,40,59,2020,{DAA3C3D5-37C7-4887-87A4-5E7022604C1F}
12197,2020,2020-SLR-zayt-13c,SLR-zayt-13c,33,33,2020/09/15 00:00:00+00,pool,bedrock,92,14,0.9,1.7,30,30,6,40,50,50,2020,{2E788183-4E49-414A-BFA5-5DE53BC2D9EE}
12198,2020,2020-SLR-zayt-13c,SLR-zayt-13c,34,34,2020/09/15 00:00:00+00,riffle,,16,9,0.3,0.6,10,5,4.5,42,70,14,2020,{DFABE7AE-1EB0-4471-B290-77BFDE171AFC}
12199,2020,2020-SLR-zayt-13c,SLR-zayt-13c,35,35,2020/09/15 00:00:00+00,run,,48,6.5,0.55,1,20,5,3,56,60,35,2020,{C93A6B44-7CBB-4499-B1CF-9FDC759D76EC}
12200,2020,2020-SLR-zayt-13d,SLR-zayt-13d,12,12,2020/09/14 00:00:00+00,step-run,,30,16,0.5,0.9,35,25,6.5,78,50,18,2020,{B385CB59-74D2-41EF-918C-31503E9E081A}
12201,2020,2020-SLR-zayt-13d,SLR-zayt-13d,13,13,2020/09/14 00:00:00+00,pool,boulder,41,18,0.9,1.45,35,50,7.5,82,50,21,2020,{AF816933-E0FC-410D-932B-72D1DA215EAE}
12202,2020,2020-SLR-zayt-13d,SLR-zayt-13d,16,16,2020/09/14 00:00:00+00,run,,38,17,0.5,0.9,60,40,5,76,25,23,2020,{597C05DD-2892-480D-AC26-09200F826384}
12203,2020,2020-SLR-zayt-13d,SLR-zayt-13d,17,17,2020/09/14 00:00:00+00,pool,boulder-bedrock,66,20,0.9,1.9,50,40,9,68,25,43,2020,{CF3ED8A1-6FA1-4F27-BA0E-2A7A34894EFD}
12204,2020,2020-SLR-zayt-13i,SLR-zayt-13i,41,41,2020/09/14 00:00:00+00,pool,bedrock-wood,90,19,1,2.1,60,40,4,74,25,20,2020,{65A8B5F5-17AB-4759-B536-C909566F5645}
12205,2020,2020-SLR-zayt-13i,SLR-zayt-13i,42,42,2020/09/14 00:00:00+00,riffle,,19,10,0.4,0.75,25,20,1.5,72,25,2,2020,{6AE2DD1B-5181-4B19-99B6-A83854BE048E}
12206,2020,2020-SLR-zayt-13i,SLR-zayt-13i,43,43,2020/09/14 00:00:00+00,pool,bedrock,78,12,1.2,2.2,35,40,4.5,68,30,14,2020,{7926862D-917F-46E2-AA2B-A0F34048EC6A}
12207,2020,2020-SLR-zayt-13i,SLR-zayt-13i,46,46,2020/09/14 00:00:00+00,run,,66,15,0.6,0.9,35,35,2.5,70,25,7,2020,{0C7D2C89-7379-4E9A-B100-4FA0175B2A37}
12208,2020,2020-SLR-bean-14a,SLR-bean-14a,17,17,2020/09/16 00:00:00+00,pool,bedrock,110,17,1,2.7,55,65,25,87,2,34,2020,{2A941EE3-8AFB-466B-9DA5-96623665278A}
12209,2020,2020-SLR-bean-14a,SLR-bean-14a,18,18,2020/09/16 00:00:00+00,run,,24,15,0.7,1.1,50,55,1.5,84,2,10,2020,{879B1C12-D519-4216-AC36-CD4966CB0E68}
12210,2020,2020-SLR-bean-14a,SLR-bean-14a,19,19,2020/09/16 00:00:00+00,riffle,,46,16,0.6,0.8,30,25,11,74,0,27,2020,{849715D4-AABA-46E7-B32C-F0E17DCFF990}
12211,2020,2020-SLR-bean-14b,SLR-bean-14b,40,40,2020/09/11 00:00:00+00,riffle,,40,14,0.3,0.5,20,25,1,70,98,8,2020,{5398CA49-1A58-4201-8EE7-73CBF8E89D3B}
12212,2020,2020-SLR-bean-14b,SLR-bean-14b,41,41,2020/09/11 00:00:00+00,pool,rootwad corner,171,15,1.2,3.2,60,60,20,64,85,46,2020,{6E8E3C1D-CEC9-45A3-A8A1-45E3A99797B8}
12213,2020,2020-SLR-bean-14b,SLR-bean-14b,42,43,2020/09/11 00:00:00+00,run,,45,11,0.25,0.4,15,15,0,66,65,8,2020,{E034AC1F-52B4-44D9-AD97-BEB502EF538A}
12214,2020,2020-SLR-bean-14c-2,SLR-bean-14c-2,49,49,2020/09/11 00:00:00+00,pool,wood,52,19,1.8,3.5,40,50,24,58,5,11,2020,{17B67C76-AA0C-4415-916A-FCDD85E445CA}
12215,2020,2020-SLR-bean-14c-2,SLR-bean-14c-2,50,50,2020/09/11 00:00:00+00,run,,23,7.5,0.25,0.4,50,15,0,68,5,0,2020,{0FA26C5E-F125-435C-B77C-5BB7DA8649EF}
12216,2020,2020-SLR-bean-14c-2,SLR-bean-14c-2,55,55,2020/09/11 00:00:00+00,pool,rootwad wood corner,143,12,1.6,2.8,45,30,20,52,25,20,2020,{278743C3-8B99-4876-8974-B972A986FB12}
12217,2020,2020-SLR-bean-14c-2,SLR-bean-14c-2,56,56,2020/09/11 00:00:00+00,riffle,,30,3.5,0.25,0.4,40,15,1,68,40,2,2020,{EB6494B5-0F5B-4BC6-9427-54E7B63A985E}
